Accuracy for sklearn: 0.872681281618887,xgb: 0.892495784148398,lgb: 0.887858347386172
Accuracy for sklearn: 0.8688870151770658,xgb: 0.8908094435075885,lgb: 0.8861720067453626
Accuracy for sklearn: 0.8790050590219224,xgb: 0.892495784148398,lgb: 0.8933389544688027
Accuracy for sklearn: 0.872681281618887,xgb: 0.892495784148398,lgb: 0.887858347386172
Accuracy for sklearn: 0.8790050590219224,xgb: 0.892495784148398,lgb: 0.8933389544688027
Accuracy for sklearn: 0.8731028667790893,xgb: 0.886593591905565,lgb: 0.8916526138279932
Accuracy for sklearn: 0.8756323777403036,xgb: 0.8912310286677909,lgb: 0.8916526138279932
Accuracy for sklearn: 0.883220910623946,xgb: 0.8992411467116358,lgb: 0.897133220910624
Accuracy for sklearn: 0.883220910623946,xgb: 0.8992411467116358,lgb: 0.897133220910624
Accuracy for sklearn: 0.877318718381113,xgb: 0.8933389544688027,lgb: 0.898397976391231
Accuracy for sklearn: 0.8764755480607083,xgb: 0.893760539629005,lgb: 0.897133220910624
Accuracy for sklearn: 0.8731028667790893,xgb: 0.892495784148398,lgb: 0.8857504215851602
