chiefs,[0],[[0.9351188  0.06488118]] eagles,[1],[[0.48346782 0.5165322 ]]

chiefs,[0],[[0.8979334  0.10206657]] eagles,[1],[[0.43787128 0.5621287 ]]

chiefs,[0],[[0.9211981  0.07880189]] eagles,[1],[[0.48346782 0.5165322 ]]

chiefs,[0],[[0.9211981  0.07880189]] eagles,[1],[[0.48346782 0.5165322 ]]
chiefs,[0],[[0.9214437  0.07855631]], eagles,[0],[[0.5214623 0.4785377]]
chiefs,[0],[[0.7029239 0.2970761]], eagles,[1],[[0.23683417 0.76316583]]
chiefs,[0],[[0.86464286 0.13535713]], eagles,[0],[[0.54926646 0.45073357]]
chiefs,[0],[[0.818445   0.18155499]], eagles,[0],[[0.5480808  0.45191923]]
chiefs,[0],[[0.88072056 0.11927945]], eagles,[1],[[0.35937083 0.6406292 ]]
chiefs,[0],[[0.91532207 0.08467793]], eagles,[0],[[0.60453033 0.39546964]]
chiefs,[0],[[0.91532207 0.08467793]], eagles,[0],[[0.60453033 0.39546964]]
chiefs,[0],[[0.7008995 0.2991005]], eagles,[1],[[0.16428757 0.83571243]]

